       0.000500        
       0.001500        0.000000
       0.002500        0.000000
       0.003500        0.000000
       0.004500        0.000000
       0.005500        0.000000
       0.006500        0.000000
       0.007500        0.000000
       0.008500        0.000000
       0.009500        0.000000
       0.010500        0.000000
       0.011500        0.000000
       0.012500        0.000000
       0.013500        0.000000
       0.014500        0.000000
       0.015500        0.000000
       0.016500        0.000000
       0.017500        0.000000
       0.018500        0.000000
       0.019500        0.000000
       0.020500        0.000000
       0.021500        0.000000
       0.022500        0.000000
       0.023500        0.000000
       0.024500        0.000000
       0.025500        0.000000
       0.026500        0.000000
       0.027500        0.000000
       0.028500        0.000000
       0.029500        0.000000
       0.030500        0.000000
       0.031500        0.000000
       0.032500        0.000000
       0.033500        0.000000
       0.034500        0.000000
       0.035500        0.000000
       0.036500        0.000000
       0.037500        0.000000
       0.038500        0.000000
       0.039500        0.000000
       0.040500        0.000000
       0.041500        0.000000
       0.042500        0.000000
       0.043500        0.000000
       0.044500        0.000000
       0.045500        0.000000
       0.046500        0.000000
       0.047500        0.000000
       0.048500        0.000000
       0.049500        0.000000
       0.050500        0.000000
       0.051500        0.000000
       0.052500        0.000000
       0.053500        0.000000
       0.054500        0.000000
       0.055500        0.000000
       0.056500        0.000000
       0.057500        0.000000
       0.058500        0.000000
       0.059500        0.000000
       0.060500        0.000000
       0.061500        0.000000
       0.062500        0.000000
       0.063500        0.000000
       0.064500        0.000000
       0.065500        0.000000
       0.066500        0.000000
       0.067500        0.000000
       0.068500        0.000000
       0.069500        0.000000
       0.070500        0.000000
       0.071500        0.000000
       0.072500        0.000000
       0.073500        0.000000
       0.074500        0.000000
       0.075500        0.000000
       0.076500        0.000000
       0.077500        0.000000
       0.078500        0.000000
       0.079500        0.000000
       0.080500        0.000000
       0.081500        0.000000
       0.082500        0.000000
       0.083500        0.000000
       0.084500        0.000000
       0.085500        0.000000
       0.086500        0.000000
       0.087500        0.000000
       0.088500        0.000000
       0.089500        0.000000
       0.090500        0.000000
       0.091500        0.000000
       0.092500        0.000000
       0.093500        0.000000
       0.094500        0.000000
       0.095500        0.000000
       0.096500        0.000000
       0.097500        0.000000
       0.098500        0.000000
       0.099500        0.000000
